,Hotel (city),Score
0,Hotel Vitale (San Francisco),98
1,Trump International Hotel & Tower (Chicago),97
2,XV Beacon (Boston),97
3,Mandarin Oriental (Washington),97
4,Crosby Street Hotel (New York),97
5,The Greenwich Hotel (New York),96
6,The Peninsula (Chicago),95
7,Sofitel Chicago Water Tower (Chicago),95
8,Palomar (Washington),95
9,Sofitel (Washington),94
10,The Liberty Hotel (Boston),93
11,The Oxford Hotel (Denver),93
12,The Brown Palace Hotel and Spa (Denver),92
13,Mandarin Oriental (New York),92
14,Hotel 1000 (Seattle),91
